company_name,municipality,address,phone,website,contact_form_url,detail_source_url,industry_fit,local_focus,network_affinity,contactability
株式会社かんきょう,秋田市,〒011-0901 秋田市寺内神屋敷295-39,018-880-5588,https://www.kankyonet.co.jp/,,https://www.akita-city-shakyo.jp/pages/302/,0,1,1,1
第一石炭株式会社,秋田市,〒010-0014 秋田市南通宮田6-10,018-833-4461,http://www17.plala.or.jp/d1-sekitan/,,https://www.akita-city-shakyo.jp/pages/302/,0,1,1,1
株式会社フロム・エー,秋田市,〒010-0061 秋田市卸町三丁目5-5,018-864-3784,https://from-a.co.jp/,,https://www.akita-city-shakyo.jp/pages/302/,0,1,1,1
株式会社　フロム・エー,秋田市,〒010-0061 秋田市卸町3-5-5,018-867-8637,http://www.kantan-album.com/index.htm,,https://www.city.akita.akita.jp/wp/database/sp/detail.php?id=1962,0,1,1,1
秋田印刷製本株式会社,秋田市,〒010-1415 秋田市御所野湯本二丁目1-9,018-839-7554,https://www.akitainsatu.co.jp/,https://www.akitainsatu.co.jp/contact-form/,https://www.akita-city-shakyo.jp/pages/302/,0,1,1,1
秋田印刷製本株式会社,秋田市,〒010-1415 秋田市御所野湯本2-1-9,018-839-7554,https://www.akitainsatu.co.jp/,https://www.akitainsatu.co.jp/contact-form/,https://www.city.akita.akita.jp/wp/database/detail.php?id=1509,0,1,1,1
株式会社河辺清掃社,秋田市,〒019-2741 秋田市河辺岩見字萱森留見瀬43,018-883-2227,https://www.kawabeseisosha.jp/,,https://www.akita-city-shakyo.jp/pages/302/,0,1,1,1
株式会社くまがい印刷,秋田市,〒010-0001 秋田市中通六丁目4-21,018-833-2220,https://www.kumagai-p.co.jp/,,https://www.akita-city-shakyo.jp/pages/302/,0,1,1,1
株式会社くまがい印刷,秋田市,〒010-0001 秋田市中通六丁目4-21,018-833-2220,https://www.kumagai-p.co.jp/,https://www.kumagai-p.co.jp/contact/,https://www.kumagai-p.co.jp/,0,1,1,1
税理士法人MIRAI,秋田市,〒011-0943 秋田市土崎港南二丁目3-64,018-857-3588,https://www.sawatax.com/,,https://www.akita-city-shakyo.jp/pages/302/,0,1,1,1
株式会社トラパンツ,秋田市,〒010-0922 秋田市旭北栄町1-48,018-883-1909,https://www.torapants.co.jp/,https://www.torapants.co.jp/contact,https://www.akita-city-shakyo.jp/pages/302/,0,1,1,1
