company_name,municipality,source_org,source_url
株式会社かんきょう,秋田市,秋田市社会福祉協議会,https://www.akita-city-shakyo.jp/pages/302/
第一石炭株式会社,秋田市,秋田市社会福祉協議会,https://www.akita-city-shakyo.jp/pages/302/
株式会社フロム・エー,秋田市,秋田市社会福祉協議会,https://www.akita-city-shakyo.jp/pages/302/
秋田印刷製本株式会社,秋田市,秋田市社会福祉協議会,https://www.akita-city-shakyo.jp/pages/302/
株式会社河辺清掃社,秋田市,秋田市社会福祉協議会,https://www.akita-city-shakyo.jp/pages/302/
株式会社くまがい印刷,秋田市,秋田市社会福祉協議会,https://www.akita-city-shakyo.jp/pages/302/
株式会社くまがい印刷,秋田市,秋田観光コンベンション協会,https://www.acvb.or.jp/member/list.html
秋田印刷製本株式会社,秋田市,秋田観光コンベンション協会,https://www.acvb.or.jp/member/list.html
株式会社　フロム・エー,秋田市,秋田市企業情報データベース,https://www.city.akita.akita.jp/wp/database/sp/detail.php?id=1962
税理士法人MIRAI,秋田市,秋田市社会福祉協議会,https://www.akita-city-shakyo.jp/pages/302/
株式会社トラパンツ,秋田市,秋田市社会福祉協議会,https://www.akita-city-shakyo.jp/pages/302/
